Speed_Category,Total_HO,Failed_HO,PingPong_HO,Time_HO,PLR_HO,EndSimTime
SPEED_020,577,27,4,166.4,182236,100
SPEED_020,527,26,3,172.5,188302,100
SPEED_020,299,25,2,141.9,202952,100
SPEED_020,306,21,0,160.275,219828,100
SPEED_020,290,22,1,128.9,114392,100
SPEED_020,368,25,2,143.025,85014.7,100
SPEED_020,512,27,3,163.025,233995,100
SPEED_020,420,32,3,148.675,185343,100
SPEED_020,570,24,4,167.05,168041,100
SPEED_020,406,30,1,142.575,179693,100
SPEED_020,507,31,1,135.975,144029,100
