Num_HO,Failed_HO,PingPong_HO,Time_HO,PLR_HO,EndSimTime
212,12,0,1.275,26.3323,100
238,12,0,1.325,45.2001,100
223,12,0,1.275,28.4215,100
233,12,0,1.125,24.8968,100
216,12,0,1.175,25.6453,100
232,13,0,1.275,34.4851,100
233,13,0,1.325,38.7231,100
243,14,1,1.375,55.4697,100
269,13,1,1.625,34.42,100
278,15,1,1.55,43.2856,100
